#,Dirección,Departamento,Provincia,Distrito
1,AVENIDA TRUJILLO S/N,La Libertad,Trujillo,Laredo
2,JIRON BOLOGNESI S/N,La Libertad,Bolívar,Bolívar
3,CALLE AMARGURA S/N,La Libertad,Sánchez Carrión,Sartimbamba
4,JOLLUCO ALTO,La Libertad,Gran Chimú,Cascas
5,AVENIDA CESAR VALLEJO 103,La Libertad,Pacasmayo,Guadalupe
6,AVENIDA CESAR VALLEJO 103,La Libertad,Pacasmayo,Guadalupe
7,AVENIDA CESAR VALLEJO 103,La Libertad,Pacasmayo,Guadalupe
8,CALLE GARCILAZO DE LA VEGA S/N,La Libertad,Sánchez Carrión,Huamachuco
9,CALLE RECREO S/N,La Libertad,Virú,Guadalupito
10,AVENIDA S/N MZ Ñ-14 LOTE 9-10,La Libertad,Trujillo,Huanchaco
11,CALLE EL PALMAR S/N,La Libertad,Trujillo,Victor Larco Herrera
12,MZ 48 LOTE 23 ETAPA II ZONA B,La Libertad,Trujillo,La Esperanza
13,MZ 38 LOTE 27 SECTOR B-II,La Libertad,Trujillo,La Esperanza
14,MZ B-16 LOTE 1 ETAPA III,La Libertad,Trujillo,La Esperanza
15,AVENIDA LOS INCAS S/N,La Libertad,Trujillo,Laredo
16,MZ B-7 LOTE 1 ETAPA III,La Libertad,Trujillo,La Esperanza
17,MZ C4 LOTE 4 ETAPA III,La Libertad,Trujillo,La Esperanza
18,JIRON LAS MAGNOLIAS S/N MZ N LOTE 07 ETAPA III,La Libertad,Trujillo,El Porvenir
19,AVENIDA 12 NOVIEMBRE MZ V LOTE 1,La Libertad,Trujillo,Florencia de Mora
20,CALLE 28 DE OCTUBRE S/N,La Libertad,Gran Chimú,Cascas
21,CALLE ALTA GRACIA MZ 17 LOTE 7 352,La Libertad,Trujillo,Moche
22,CALLE PROLONGACION MANUEL SEOANE S/N ETAPA II,La Libertad,Trujillo,Salaverry
23,FRONTON ALTO,La Libertad,Virú,Viru
24,CALLE SAN MARTIN MZ 14 LOTE 2 SECTOR II,La Libertad,Trujillo,Huanchaco
25,AVENIDA LOS SAUCES MZ 30 LOTE 1,La Libertad,Trujillo,El Porvenir
26,CARRETERA PUENTE PIEDRA,La Libertad,Gran Chimú,Cascas
27,PUNTA MORENO,La Libertad,Gran Chimú,Cascas
28,CARRETERA PAMPA DE SAN ISIDRO S/N,La Libertad,Gran Chimú,Cascas
29,CARRETERA RANCHO GRANDE,La Libertad,Gran Chimú,Sayapullo
30,MZ 8 SECTOR III,La Libertad,Trujillo,Huanchaco
31,HUANCAQUITO ALTO,La Libertad,Virú,Viru
32,JIRON SAN MARTIN S/N,La Libertad,Gran Chimú,Cascas
33,CALLE ELIAS AGUIRRE S/N,La Libertad,Trujillo,Moche
34,CALLE PIURA 376,La Libertad,Pacasmayo,San José
35,JIRON MANCO CAPAC S/N,La Libertad,Pataz,Urpay
